职位,公司名称,地址,经度,纬度,网址
倉庫担当(编号100192) 日语必须,上海艾杰飞人力资源有限公司,天津,117.2108131,39.1439299,https://jobs.51job.com/tianjin/102870108.html?s=01&t=0
特斯拉直营-售后配件顾问-天津,Tesla特斯拉汽车,天津旺港路,117.308352,39.04750457,https://jobs.51job.com/tianjin/102919249.html?s=01&t=0
仓库订单员,天津华德瑞宝国际贸易有限公司,东丽区树森物流园,117.4147823,39.13960464,https://jobs.51job.com/tianjin/102977646.html?s=01&t=0
供应链仓储主管,百世物流科技（中国）有限公司,天津市南开区宜宾道集群产业园A座8号楼4楼,117.1344719,39.13460447,https://jobs.51job.com/tianjin/103167005.html?s=01&t=0
理货员,西王集团,天津,117.2108131,39.1439299,https://jobs.51job.com/tianjin/103209206.html?s=01&t=0
配件顾问-汽配电商（天津）,广州市巴图鲁信息科技有限公司,天津市武清区东马圈镇武落公路东侧,116.848243,39.46610034,https://jobs.51job.com/tianjin/103294826.html?s=01&t=0
仓库保管员,浙江天正电气股份有限公司,天津,117.2108131,39.1439299,https://jobs.51job.com/tianjin/103452585.html?s=01&t=0
仓储主管,百世物流科技（中国）有限公司,天津市武清开发区高新公寓附近,117.4953441,39.13562762,https://jobs.51job.com/tianjin/103485932.html?s=01&t=0
仓储组长,百世物流科技（中国）有限公司,空港保税区西二道7号,117.3807326,39.15956429,https://jobs.51job.com/tianjin/103485933.html?s=01&t=0
仓库主管,百世物流科技（中国）有限公司,天津,117.2108131,39.1439299,https://jobs.51job.com/tianjin/103485974.html?s=01&t=0
仓库记账员,蓝月亮（中国）有限公司,分公司,117.2108131,39.1439299,https://jobs.51job.com/tianjin/48173025.html?s=01&t=0
库工,图尔克（天津）传感器有限公司,天津市西青开发区兴华四支路18号,117.2344385,39.01377814,https://jobs.51job.com/tianjin/50107245.html?s=01&t=0
库房管理员,天津市博业医药有限公司,.,117.2108131,39.1439299,https://jobs.51job.com/tianjin/63855276.html?s=01&t=0
库管员(职位编号：013),天津顺裕安防工程有限公司,河北区中山路宇阳公寓,117.2092068,39.16656884,https://jobs.51job.com/tianjin/68399978.html?s=01&t=0
Warehouse Clerk 操作内勤 (中班1300pm-2100pm),TNT China,天津自贸区（空港经济区）空港物流园第一大街50号汇力通物流园3号楼一层 （提供班车）,0,0,https://jobs.51job.com/tianjin/71793361.html?s=01&t=0
库管,天津市华维物业服务有限公司,空港,117.4053851,39.17415786,https://jobs.51job.com/tianjin/73410856.html?s=01&t=0
现场发运管理,大连顺通圣世物流有限公司,塘沽区,117.6490814,39.00793614,https://jobs.51job.com/tianjin/73580055.html?s=01&t=0
叉车司机,林孚克斯（上海）道路运输有限公司天津分公司,天津北辰区高新大道69号,117.2780656,39.23749587,https://jobs.51job.com/tianjin/73619398.html?s=01&t=0
