始发站,终点站,货物,日期,网址
北京,云南昭通,X35,2018-10-11,http://www.56135.com/huoyuan/I9415839.html
北京,贵州贵阳,bj40,2018-10-11,http://www.56135.com/huoyuan/I9415838.html
北京,云南昆明,bj40,2018-10-11,http://www.56135.com/huoyuan/I9415837.html
北京,贵州铜仁,X35,2018-10-11,http://www.56135.com/huoyuan/I9415836.html
北京,重庆,车,2018-10-11,http://www.56135.com/huoyuan/I9415835.html
北京大兴,湖南长沙,普货,2018-10-11,http://www.56135.com/huoyuan/I9415632.html
北京房山,湖南湘潭,普货,2018-10-11,http://www.56135.com/huoyuan/I9415631.html
北京,河北张家口,普货,2018-10-11,http://www.56135.com/huoyuan/I9415473.html
北京,内蒙古赤峰,普货,2018-10-11,http://www.56135.com/huoyuan/I9415472.html
北京,湖北武汉,None,2018-10-11,http://www.56135.com/huoyuan/I9415447.html
北京,陕西西安,普货,2018-10-11,http://www.56135.com/huoyuan/I9415339.html
北京,江苏盐城,普货,2018-10-11,http://www.56135.com/huoyuan/I9415317.html
北京,四川成都,普货,2018-10-11,http://www.56135.com/huoyuan/I9415316.html
北京,河南郑州,None,2018-10-11,http://www.56135.com/huoyuan/I9415170.html
北京,四川成都,普货,2018-10-11,http://www.56135.com/huoyuan/I9415099.html
北京,陕西西安,None,2018-10-11,http://www.56135.com/huoyuan/I9414802.html
北京通州,湖北武汉东西湖,None,2018-10-11,http://www.56135.com/huoyuan/I9414411.html
北京,广西南宁兴宁,普货,2018-10-11,http://www.56135.com/huoyuan/I9413704.html
北京,广东河源东源,普货,2018-10-11,http://www.56135.com/huoyuan/I9413703.html
北京,山东临沂,普货,2018-10-11,http://www.56135.com/huoyuan/I9413702.html
北京,山东泰安新泰,普货,2018-10-11,http://www.56135.com/huoyuan/I9413701.html
北京,山东日照,普货,2018-10-11,http://www.56135.com/huoyuan/I9413700.html
北京,辽宁沈阳,普货,2018-10-10,http://www.56135.com/huoyuan/I9413168.html
北京,辽宁盘锦,普货,2018-10-11,http://www.56135.com/huoyuan/I9412758.html
北京,河北唐山曹妃甸,重货,2018-10-10,http://www.56135.com/huoyuan/I9412724.html
北京,北京大兴,螺纹,2018-10-10,http://www.56135.com/huoyuan/I9412642.html
北京通州,河北唐山玉田,剪切料,2018-10-10,http://www.56135.com/huoyuan/I9412606.html
北京,吉林长春,普货,2018-10-10,http://www.56135.com/huoyuan/I9412602.html
北京怀柔,河北唐山迁安,摸板,2018-10-10,http://www.56135.com/huoyuan/I9412599.html
北京,北京顺义,螺纹,2018-10-10,http://www.56135.com/huoyuan/I9412588.html
北京房山,河北承德宽城,破碎料,2018-10-10,http://www.56135.com/huoyuan/I9412561.html
北京,河北唐山丰润,普货,2018-10-9,http://www.56135.com/huoyuan/I9412543.html
北京,江苏徐州丰县,可乐色燃料油,2018-10-11,http://www.56135.com/huoyuan/I9412437.html
北京怀柔,广东湛江,None,2018-10-11,http://www.56135.com/huoyuan/I9411801.html
北京,辽宁大连,普货,2018-10-11,http://www.56135.com/huoyuan/I9411696.html
北京,辽宁沈阳,普货,2018-10-11,http://www.56135.com/huoyuan/I9411694.html
北京,河南新乡牧野,泡货,2018-10-11,http://www.56135.com/huoyuan/I9411610.html
北京,浙江杭州,普货,2018-10-12,http://www.56135.com/huoyuan/I9455611.html
北京,江西南昌,普货,2018-10-12,http://www.56135.com/huoyuan/I9455610.html
北京,河南郑州,普货,2018-10-12,http://www.56135.com/huoyuan/I9455609.html
北京,四川成都,普货,2018-10-12,http://www.56135.com/huoyuan/I9455608.html
北京顺义,河北廊坊三河,普货,2018-10-12,http://www.56135.com/huoyuan/I9455605.html
北京,广东广州白云,普货,2018-10-12,http://www.56135.com/huoyuan/I9455576.html
北京,河南郑州,普货,2018-10-12,http://www.56135.com/huoyuan/I9455380.html
北京大兴,安徽安庆望江,水稻,2018-10-12,http://www.56135.com/huoyuan/I9454926.html
北京大兴,黑龙江大庆肇源,水稻,2018-10-12,http://www.56135.com/huoyuan/I9454919.html
北京大兴,辽宁盘锦,水稻,2018-10-12,http://www.56135.com/huoyuan/I9454917.html
北京大兴,黑龙江绥化海伦,水稻,2018-10-12,http://www.56135.com/huoyuan/I9454913.html
北京大兴,黑龙江佳木斯,水稻,2018-10-12,http://www.56135.com/huoyuan/I9454902.html
北京,山东烟台,普货,2018-10-12,http://www.56135.com/huoyuan/I9454805.html
北京房山,湖南怀化,None,2018-10-12,http://www.56135.com/huoyuan/I9454780.html
北京大兴,湖南娄底,重货,2018-10-12,http://www.56135.com/huoyuan/I9454778.html
北京,山东青岛,普货,2018-10-12,http://www.56135.com/huoyuan/I9454723.html
北京顺义,河北邯郸,普货,2018-10-12,http://www.56135.com/huoyuan/I9454426.html
北京,广东广州,普货,2018-10-12,http://www.56135.com/huoyuan/I9454093.html
北京,陕西西安,普货,2018-10-12,http://www.56135.com/huoyuan/I9453788.html
北京,河北保定满城,普货,2018-10-12,http://www.56135.com/huoyuan/I9453780.html
北京房山,湖北武汉,普货,2018-10-12,http://www.56135.com/huoyuan/I9453734.html
北京大兴,辽宁盘锦,水稻,2018-10-12,http://www.56135.com/huoyuan/I9453576.html
北京大兴,黑龙江绥化海伦,水稻,2018-10-12,http://www.56135.com/huoyuan/I9453574.html
