,idx,快递,名称,地址,name_lat,name_lng,lat,lng,是否有地址,wgs_lon,wgs_lat,x,y
0,5430,CCES快递,北京幸福村CCES快递,东直门外大街33号楼地下室,40.2150329452199,116.25492709669,39.9470174550212,116.450594141243,是,116.43783278132783,39.939890623550326,12961.800252485453,4857.211188901671
1,5498,CCES快递,北京木樨园CCES快递,丰台区南三环大李窑,40.2150329452199,116.25492709669,39.8490877534061,116.395546763255,是,116.38291242093197,39.84139658634639,12955.686545932855,4842.921159484378
2,6468,CCES快递,北京建外SOHOCCES快递,北京建外SOHOCCES快递,39.911816984891,116.467212489892,39.911816984891,116.467212489892,否,116.45445155317118,39.90483704216481,12963.650245704406,4852.123078231404
3,6469,CCES快递,北京工体CCES快递,北京工体CCES快递,40.2150329452199,116.25492709669,40.2150329452199,116.25492709669,否,116.24234092734908,40.207821523756344,12940.038198849337,4896.1884540166675
4,6470,CCES快递,北京大鲁店CCES快递,北京大鲁店CCES快递,40.2150329452199,116.25492709669,40.2150329452199,116.25492709669,否,116.24234092734908,40.207821523756344,12940.038198849337,4896.1884540166675
5,6471,CCES快递,北京望京一区CCES快递,北京望京一区CCES快递,40.2150329452199,116.25492709669,40.2150329452199,116.25492709669,否,116.24234092734908,40.207821523756344,12940.038198849337,4896.1884540166675
6,6472,CCES快递,北京亚运村CCES快递,北京亚运村CCES快递,40.2150329452199,116.25492709669,40.2150329452199,116.25492709669,否,116.24234092734908,40.207821523756344,12940.038198849337,4896.1884540166675
7,5834,CCES快递,北京欢乐谷CCES快递,十八里店乡张家店村3225特物流中心内。,40.2150329452199,116.25492709669,39.8343195444436,116.512765930608,是,116.50039409783527,39.82686226327351,12968.76454638145,4840.814180653138
8,6473,CCES快递,北京朝阳公园CCES快递,北京朝阳公园CCES快递,39.9550787519201,116.481201367717,39.9550787519201,116.481201367717,否,116.46851948147669,39.9480363556196,12965.216280319673,4858.393934425606
9,6474,CCES快递,北京酒仙桥CCES快递,北京酒仙桥CCES快递,40.2150329452199,116.25492709669,40.2150329452199,116.25492709669,否,116.24234092734908,40.207821523756344,12940.038198849337,4896.1884540166675
10,5478,CCES快递,北京大红门CCES快递,丰台区分钟寺三队,40.2150329452199,116.25492709669,39.8631277502979,116.460392239155,是,116.4476030559811,39.8561102131129,12962.887874484615,4845.054585510847
11,6475,CCES快递,北京太阳宫CCES快递,北京太阳宫CCES快递,40.2150329452199,116.25492709669,40.2150329452199,116.25492709669,否,116.24234092734908,40.207821523756344,12940.038198849337,4896.1884540166675
12,6476,CCES快递,北京五元桥CCES快递,北京五元桥CCES快递,40.2150329452199,116.25492709669,40.2150329452199,116.25492709669,否,116.24234092734908,40.207821523756344,12940.038198849337,4896.1884540166675
13,6467,CCES快递,北京亚运村一部CCES快递,北京亚运村一部CCES快递,40.2150329452199,116.25492709669,40.2150329452199,116.25492709669,否,116.24234092734908,40.207821523756344,12940.038198849337,4896.1884540166675
14,5126,CCES快递,北京西站CCES快递,菜户营桥,40.2150329452199,116.25492709669,39.8738023233973,116.358446207608,是,116.34564876873584,39.86672539839968,12951.538375145861,4846.594035438226
15,1257,CCES快递,北京公司CCES快递,北京市朝阳区东坝乡东小井村218号,40.2150329452199,116.25492709669,39.9738592868686,116.555302470659,是,116.54295215863978,39.96674165175746,12973.502088038696,4861.110442652932
16,5474,CCES快递,北京南苑CCES快递,丰台区大红门西路4号,40.2150329452199,116.25492709669,39.8452845874836,116.401506315144,是,116.38888840339256,39.83754827383949,12956.351789257264,4842.36324263292
17,5464,CCES快递,北京丰台基地CCES快递,丰台花乡桥亿城天筑小区,40.2150329452199,116.25492709669,39.8268533227675,116.315724952589,是,116.30316439711197,39.81957319462179,12946.809036530678,4839.757683282906
18,5891,CCES快递,北京三河CCES快递,天洋城261502,40.2150329452199,116.25492709669,39.98461,116.8428,是,116.83020947343203,39.97771255916978,13005.479426043563,4862.704057032765
19,5147,CCES快递,北京回龙观二部CCES快递,昌平区二拔子工业园东路8号,40.2150329452199,116.25492709669,40.0885593065863,116.302123451048,是,116.2896151351079,40.081058110557706,12945.300739583969,4877.728423529873
20,538,CCES快递,北京方庄CCES快递,北京丰台区紫方园二区3号楼东侧,40.2150329452199,116.25492709669,39.8419378522047,116.258370335467,是,116.24586590554783,39.834693095496114,12940.430597627423,4841.949327607444
21,3795,CCES快递,北京门头沟CCES快递,北京市门头沟区永定镇大峪坡兴村18号,40.0008930314764,115.79579538125,39.9421042175665,116.109708465236,是,116.09678291997,39.9350559665632,12923.834755589267,4856.509272055598
22,6477,CCES快递,北京永丰CCES快递,北京永丰CCES快递,40.2150329452199,116.25492709669,40.2150329452199,116.25492709669,否,116.24234092734908,40.207821523756344,12940.038198849337,4896.1884540166675
23,5162,CCES快递,北京昌平二部CCES快递,昌平区水南路白咸庄村居家伟业,40.2150329452199,116.25492709669,40.2047673142459,116.159775013495,是,116.14712374998419,40.197078942835546,12929.438671151778,4894.622719426735
24,5166,CCES快递,北京昌平CCES快递,昌平水屯家园1号楼,40.2150329452199,116.25492709669,40.2058256548391,116.228022128022,是,116.21530789340866,40.198923019156354,12937.02889527691,4894.891476499454
25,6493,CCES快递,北京西三旗CCES快递,北京西三旗CCES快递,40.2150329452199,116.25492709669,40.2150329452199,116.25492709669,否,116.24234092734908,40.207821523756344,12940.038198849337,4896.1884540166675
26,3736,CCES快递,北京怀柔二部CCES快递,北京市怀柔区汇都家园,40.6381393403109,116.593408356434,40.3369420081196,116.647776918925,是,116.6354890902527,40.32946611592088,12983.803252143987,4913.935539943306
