始发站,终点站,货物,日期,网址
北京,浙江嘉兴,普货,2018-3-22,http://www.56135.com/huoyuan/I6373302.html
北京,浙江嘉兴,货,2018-3-22,http://www.56135.com/huoyuan/I6373264.html
福建南平,北京,绿通,2018-3-22,http://www.56135.com/huoyuan/I6373333.html
福建厦门,北京通州,石材,2018-3-22,http://www.56135.com/huoyuan/I6373324.html
广东东莞,北京,普货,2018-3-22,http://www.56135.com/huoyuan/I6373303.html
北京,甘肃白银,猪,2018-3-23,http://www.56135.com/huoyuan/I6330828.html
北京,山东济南,普货,2018-3-23,http://www.56135.com/huoyuan/I6330824.html
北京,河北沧州黄骅,二甲苯,2018-3-23,http://www.56135.com/huoyuan/I6330769.html
北京,陕西西安,普货,2018-3-23,http://www.56135.com/huoyuan/I6329254.html
北京大兴,内蒙古呼和浩特,泡货,2018-3-23,http://www.56135.com/huoyuan/I6322500.html
北京顺义,宁夏银川,None,2018-3-23,http://www.56135.com/huoyuan/I6322479.html
北京通州,内蒙古呼和浩特,零担,2018-3-23,http://www.56135.com/huoyuan/I6322476.html
北京,山东淄博,崔柴,2018-3-23,http://www.56135.com/huoyuan/I6321824.html
北京,辽宁葫芦岛,塔底料,2018-3-23,http://www.56135.com/huoyuan/I6321771.html
北京,山东淄博,崔柴,2018-3-23,http://www.56135.com/huoyuan/I6321486.html
北京,辽宁盘锦,货,2018-3-23,http://www.56135.com/huoyuan/I6321473.html
北京,内蒙古呼和浩特,货,2018-3-23,http://www.56135.com/huoyuan/I6321472.html
北京大兴,内蒙古呼和浩特,15吨,2018-3-23,http://www.56135.com/huoyuan/I6321460.html
北京,山东潍坊,冻品,2018-3-23,http://www.56135.com/huoyuan/I6321267.html
北京通州,河北张家口,普货,2018-3-23,http://www.56135.com/huoyuan/I6321136.html
北京密云,甘肃武威凉州,None,2018-3-23,http://www.56135.com/huoyuan/I6320789.html
北京,安徽合肥,货,2018-3-23,http://www.56135.com/huoyuan/I6320772.html
北京房山,河北廊坊香河,None,2018-3-23,http://www.56135.com/huoyuan/I6320657.html
北京房山,湖南湘潭,None,2018-3-23,http://www.56135.com/huoyuan/I6320009.html
北京,安徽芜湖,专线,2018-3-23,http://www.56135.com/huoyuan/I6319762.html
北京,安徽合肥,专线,2018-3-23,http://www.56135.com/huoyuan/I6319761.html
北京,安徽阜阳,专线,2018-3-23,http://www.56135.com/huoyuan/I6319760.html
北京,新疆喀什,专线,2018-3-23,http://www.56135.com/huoyuan/I6319759.html
北京,新疆阿克苏,专线,2018-3-23,http://www.56135.com/huoyuan/I6319758.html
北京,新疆巴音郭楞库尔勒,专线,2018-3-23,http://www.56135.com/huoyuan/I6319757.html
北京,新疆伊犁,专线,2018-3-23,http://www.56135.com/huoyuan/I6319756.html
北京,新疆乌鲁木齐,专线,2018-3-23,http://www.56135.com/huoyuan/I6319755.html
北京,新疆吐鲁番,专线,2018-3-23,http://www.56135.com/huoyuan/I6319754.html
北京,新疆哈密,专线,2018-3-23,http://www.56135.com/huoyuan/I6319753.html
北京通州,内蒙古呼和浩特,零担,2018-3-23,http://www.56135.com/huoyuan/I6319702.html
北京顺义,宁夏银川,None,2018-3-23,http://www.56135.com/huoyuan/I6319699.html
北京,四川宜宾,货,2018-3-23,http://www.56135.com/huoyuan/I6319686.html
北京,甘肃白银,None,2018-3-23,http://www.56135.com/huoyuan/I6319515.html
北京,江苏无锡,None,2018-3-23,http://www.56135.com/huoyuan/I6319285.html
北京,山东淄博,崔柴,2018-3-23,http://www.56135.com/huoyuan/I6319146.html
北京,广东中山,普货,2018-3-23,http://www.56135.com/huoyuan/I6318630.html
北京,广东广州,绿通,2018-3-23,http://www.56135.com/huoyuan/I6318618.html
北京,内蒙古呼和浩特,普货,2018-3-23,http://www.56135.com/huoyuan/I6318408.html
北京顺义,天津津南,普货,2018-3-23,http://www.56135.com/huoyuan/I6318077.html
北京通州,河北唐山玉田,剪切料,2018-3-23,http://www.56135.com/huoyuan/I6317760.html
北京,山东潍坊青州,催柴,2018-3-23,http://www.56135.com/huoyuan/I6317495.html
北京,山东淄博,崔柴,2018-3-23,http://www.56135.com/huoyuan/I6317450.html
北京大兴,内蒙古呼和浩特,货,2018-3-23,http://www.56135.com/huoyuan/I6317353.html
北京,广东深圳,货,2018-3-23,http://www.56135.com/huoyuan/I6317351.html
北京,山东淄博,催柴,2018-3-23,http://www.56135.com/huoyuan/I6317129.html
北京,福建泉州,普货,2018-3-23,http://www.56135.com/huoyuan/I6317027.html
北京,甘肃白银,猪,2018-3-24,http://www.56135.com/huoyuan/I6325137.html
北京,辽宁沈阳,货,2018-3-24,http://www.56135.com/huoyuan/I6325097.html
北京,四川成都,货,2018-3-24,http://www.56135.com/huoyuan/I6324933.html
北京,山东东营广饶,催柴,2018-3-24,http://www.56135.com/huoyuan/I6324610.html
北京,河北廊坊,危险品,2018-3-24,http://www.56135.com/huoyuan/I6324587.html
北京,山东东营广饶,催柴,2018-3-24,http://www.56135.com/huoyuan/I6324270.html
北京,山东菏泽,柴油,2018-3-24,http://www.56135.com/huoyuan/I6324262.html
北京,山东菏泽,崔柴,2018-3-24,http://www.56135.com/huoyuan/I6324015.html
北京,河北保定,化工,2018-3-24,http://www.56135.com/huoyuan/I6323836.html
北京,山东东营广饶,催柴,2018-3-24,http://www.56135.com/huoyuan/I6323818.html
北京,吉林长春,货,2018-3-24,http://www.56135.com/huoyuan/I6323746.html
北京,山西太原,货,2018-3-24,http://www.56135.com/huoyuan/I6323744.html
北京,河北石家庄,货,2018-3-24,http://www.56135.com/huoyuan/I6323743.html
北京,河北沧州黄骅,化工,2018-3-24,http://www.56135.com/huoyuan/I6323736.html
北京通州,甘肃定西临洮,货,2018-3-24,http://www.56135.com/huoyuan/I6323703.html
北京通州,青海西宁,None,2018-3-24,http://www.56135.com/huoyuan/I6323588.html
北京,山东淄博,崔柴,2018-3-24,http://www.56135.com/huoyuan/I6323468.html
北京,山东淄博,崔柴,2018-3-24,http://www.56135.com/huoyuan/I6323418.html
北京,山东潍坊青州,催柴,2018-3-24,http://www.56135.com/huoyuan/I6323284.html
北京,山东菏泽,催柴,2018-3-24,http://www.56135.com/huoyuan/I6323283.html
北京,山东东营广饶,催柴,2018-3-24,http://www.56135.com/huoyuan/I6323246.html
北京,山东潍坊青州,None,2018-3-24,http://www.56135.com/huoyuan/I6323181.html
北京,河北保定,普货,2018-3-25,http://www.56135.com/huoyuan/I6328454.html
北京房山,甘肃,石油焦,2018-3-25,http://www.56135.com/huoyuan/I6328443.html
北京通州,内蒙古包头,百货,2018-3-25,http://www.56135.com/huoyuan/I6328354.html
北京延庆,河南郑州,货,2018-3-25,http://www.56135.com/huoyuan/I6327630.html
北京怀柔,河北石家庄,普货,2018-3-25,http://www.56135.com/huoyuan/I6327606.html
北京大兴,内蒙古呼和浩特,None,2018-3-25,http://www.56135.com/huoyuan/I6327566.html
北京通州,内蒙古乌兰察布集宁,百货,2018-3-25,http://www.56135.com/huoyuan/I6327565.html
北京顺义,山东青岛,草坪,2018-3-25,http://www.56135.com/huoyuan/I6327564.html
北京通州,内蒙古呼和浩特,零担,2018-3-25,http://www.56135.com/huoyuan/I6327563.html
北京顺义,宁夏银川,None,2018-3-25,http://www.56135.com/huoyuan/I6327560.html
北京通州,新疆乌鲁木齐,货,2018-3-25,http://www.56135.com/huoyuan/I6327450.html
北京通州,湖北宜昌,货,2018-3-25,http://www.56135.com/huoyuan/I6326806.html
北京丰台,北京大兴,打包砖,2018-3-25,http://www.56135.com/huoyuan/I6325624.html
北京平谷,内蒙古,砖,2018-3-25,http://www.56135.com/huoyuan/I6325605.html
北京顺义,内蒙古,砖,2018-3-25,http://www.56135.com/huoyuan/I6325604.html
北京平谷,内蒙古赤峰,砖,2018-3-25,http://www.56135.com/huoyuan/I6325599.html
北京顺义,内蒙古赤峰,打包砖,2018-3-25,http://www.56135.com/huoyuan/I6325597.html
北京平谷,内蒙古赤峰喀喇沁旗,砖,2018-3-25,http://www.56135.com/huoyuan/I6325596.html
北京平谷,内蒙古赤峰宁城,砖,2018-3-25,http://www.56135.com/huoyuan/I6325595.html
北京顺义,内蒙古赤峰宁城,砖,2018-3-25,http://www.56135.com/huoyuan/I6325594.html
北京密云,黑龙江双鸭山宝山,砖,2018-3-25,http://www.56135.com/huoyuan/I6325593.html
北京平谷,贵州黔东南岑巩,砖,2018-3-25,http://www.56135.com/huoyuan/I6325592.html
北京,新疆乌鲁木齐,冻品,2018-3-25,http://www.56135.com/huoyuan/I6325586.html
北京,山东淄博,崔柴,2018-3-25,http://www.56135.com/huoyuan/I6325576.html
北京,山东淄博,催柴,2018-3-25,http://www.56135.com/huoyuan/I6325569.html
北京大兴,河北张家口蔚县,有重货,2018-3-25,http://www.56135.com/huoyuan/I6325261.html
北京,山东淄博,崔柴,2018-3-26,http://www.56135.com/huoyuan/I6341728.html
北京,山东淄博,崔柴,2018-3-26,http://www.56135.com/huoyuan/I6341565.html
北京房山,辽宁朝阳凌源,汽油,2018-3-26,http://www.56135.com/huoyuan/I6340340.html
北京平谷,辽宁沈阳,None,2018-3-26,http://www.56135.com/huoyuan/I6340295.html
北京,内蒙古赤峰,None,2018-3-26,http://www.56135.com/huoyuan/I6340283.html
北京房山,山东日照,None,2018-3-26,http://www.56135.com/huoyuan/I6340273.html
北京,内蒙古呼和浩特,None,2018-3-26,http://www.56135.com/huoyuan/I6340167.html
北京房山,内蒙古鄂尔多斯乌审旗,None,2018-3-26,http://www.56135.com/huoyuan/I6340157.html
北京,新疆乌鲁木齐,None,2018-3-26,http://www.56135.com/huoyuan/I6340089.html
北京房山,内蒙古乌海,None,2018-3-26,http://www.56135.com/huoyuan/I6340044.html
北京房山,内蒙古阿拉善盟阿拉善左旗,None,2018-3-26,http://www.56135.com/huoyuan/I6340043.html
北京门头沟,河北唐山丰润,None,2018-3-26,http://www.56135.com/huoyuan/I6339920.html
北京房山,河北廊坊大城,None,2018-3-26,http://www.56135.com/huoyuan/I6339903.html
北京,山东淄博,None,2018-3-26,http://www.56135.com/huoyuan/I6339878.html
北京延庆,河南郑州,普货,2018-3-26,http://www.56135.com/huoyuan/I6339715.html
北京房山,宁夏吴忠青铜峡,普货,2018-3-26,http://www.56135.com/huoyuan/I6339695.html
北京,湖南长沙,普货,2018-3-26,http://www.56135.com/huoyuan/I6339686.html
北京,湖北武汉,普货,2018-3-26,http://www.56135.com/huoyuan/I6339685.html
北京,山东淄博,崔柴,2018-3-26,http://www.56135.com/huoyuan/I6339405.html
北京,山东淄博,崔柴,2018-3-26,http://www.56135.com/huoyuan/I6338966.html
北京通州,内蒙古呼和浩特,百货,2018-3-26,http://www.56135.com/huoyuan/I6338576.html
北京,广东东莞,普货,2018-3-26,http://www.56135.com/huoyuan/I6338569.html
北京,广东广州,普货,2018-3-26,http://www.56135.com/huoyuan/I6338568.html
北京,云南昆明,货,2018-3-26,http://www.56135.com/huoyuan/I6338486.html
北京,山东淄博,催柴,2018-3-26,http://www.56135.com/huoyuan/I6338373.html
北京,四川成都,货,2018-3-26,http://www.56135.com/huoyuan/I6338340.html
北京,山西大同,货,2018-3-26,http://www.56135.com/huoyuan/I6338304.html
北京,山东淄博临淄,催柴,2018-3-26,http://www.56135.com/huoyuan/I6338188.html
北京,江苏镇江,货,2018-3-26,http://www.56135.com/huoyuan/I6337773.html
北京,江苏,货,2018-3-26,http://www.56135.com/huoyuan/I6337772.html
北京,山东东营广饶,催柴,2018-3-26,http://www.56135.com/huoyuan/I6337515.html
北京,山东淄博临淄,催柴,2018-3-26,http://www.56135.com/huoyuan/I6337482.html
北京顺义,河北石家庄,None,2018-3-26,http://www.56135.com/huoyuan/I6337129.html
北京,山东淄博临淄,催柴,2018-3-26,http://www.56135.com/huoyuan/I6337014.html
北京,贵州贵阳,货,2018-3-26,http://www.56135.com/huoyuan/I6336909.html
北京,广东深圳,货,2018-3-26,http://www.56135.com/huoyuan/I6336859.html
北京密云,湖南长沙,None,2018-3-26,http://www.56135.com/huoyuan/I6336807.html
北京,黑龙江哈尔滨,None,2018-3-26,http://www.56135.com/huoyuan/I6336652.html
北京房山,北京房山,None,2018-3-26,http://www.56135.com/huoyuan/I6336622.html
北京,河北沧州东光,None,2018-3-26,http://www.56135.com/huoyuan/I6336600.html
北京密云,湖南长沙,None,2018-3-26,http://www.56135.com/huoyuan/I6336393.html
北京大兴,山西朔州山阴,重货,2018-3-26,http://www.56135.com/huoyuan/I6336390.html
北京,辽宁葫芦岛,塔底料,2018-3-26,http://www.56135.com/huoyuan/I6336327.html
北京,山东潍坊青州,催柴,2018-3-26,http://www.56135.com/huoyuan/I6335701.html
北京,山东东营广饶,催柴,2018-3-26,http://www.56135.com/huoyuan/I6335700.html
北京,辽宁沈阳,货,2018-3-26,http://www.56135.com/huoyuan/I6335286.html
北京通州,辽宁沈阳,快递,2018-3-26,http://www.56135.com/huoyuan/I6335168.html
北京通州,河北承德,快递,2018-3-26,http://www.56135.com/huoyuan/I6335167.html
北京通州,河北张家口,快递,2018-3-26,http://www.56135.com/huoyuan/I6335166.html
北京,河北承德,普货,2018-3-26,http://www.56135.com/huoyuan/I6335156.html
北京,河北张家口,普货,2018-3-26,http://www.56135.com/huoyuan/I6335155.html
北京,山东淄博临淄,催柴,2018-3-26,http://www.56135.com/huoyuan/I6334632.html
北京,广西南宁,货,2018-3-26,http://www.56135.com/huoyuan/I6334294.html
北京平谷,山东临沂平邑,装散粮,2018-3-26,http://www.56135.com/huoyuan/I6334100.html
北京,山东淄博,崔柴,2018-3-26,http://www.56135.com/huoyuan/I6334005.html
北京,山东淄博,崔柴,2018-3-26,http://www.56135.com/huoyuan/I6333969.html
北京丰台,北京大兴,打包砖,2018-3-26,http://www.56135.com/huoyuan/I6333918.html
北京,广东东莞,货,2018-3-26,http://www.56135.com/huoyuan/I6333673.html
