宁夏银川,陕西西安,普货,2018/8/27,http://www.56135.com/huoyuan/I8746540.html,
陕西西安,湖南岳阳汨罗,普货,2018/8/27,http://www.56135.com/huoyuan/I8746539.html,
浙江金华,辽宁大连,普货,2018/8/27,http://www.56135.com/huoyuan/I8746538.html,
浙江金华,辽宁沈阳,普货,2018/8/27,http://www.56135.com/huoyuan/I8746537.html,
上海,广东广州,普货,2018/8/27,http://www.56135.com/huoyuan/I8746532.html,
福建漳州,贵州贵阳,普货,2018/8/27,http://www.56135.com/huoyuan/I8746531.html,
福建漳州,云南昆明,普货,2018/8/27,http://www.56135.com/huoyuan/I8746530.html,
福建福州,山东泰安肥城,普货,2018/8/27,http://www.56135.com/huoyuan/I8746529.html,
福建福州,山东潍坊诸城,普货,2018/8/27,http://www.56135.com/huoyuan/I8746528.html,
福建宁德,山东威海荣成,普货,2018/8/27,http://www.56135.com/huoyuan/I8746527.html,
福建福州,浙江宁波象山,普货,2018/8/27,http://www.56135.com/huoyuan/I8746526.html,
福建宁德霞浦,福建泉州,普货,2018/8/27,http://www.56135.com/huoyuan/I8746525.html,
福建漳州东山,黑龙江大庆,普货,2018/8/27,http://www.56135.com/huoyuan/I8746524.html,
福建福州,浙江台州,普货,2018/8/27,http://www.56135.com/huoyuan/I8746523.html,
河北秦皇岛海港,山东东营利津,柴油,2018/8/27,http://www.56135.com/huoyuan/I8746522.html,
山东日照,山东东营垦利,直气,2018/8/27,http://www.56135.com/huoyuan/I8746521.html,
山东菏泽,江苏宿迁,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746520.html,
河北保定定兴,江苏盐城阜宁,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746519.html,
河北保定涿州,江苏盐城阜宁,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746518.html,
河南濮阳,江苏盐城,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746516.html,
山东潍坊寿光,浙江湖州,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746515.html,
山东潍坊,浙江湖州,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746514.html,
吉林吉林昌邑,湖南长沙开福,None,2018/8/27,http://www.56135.com/huoyuan/I8746513.html,
山东潍坊寿光,湖南长沙开福,None,2018/8/27,http://www.56135.com/huoyuan/I8746512.html,
辽宁沈阳苏家屯,安徽淮北,None,2018/8/27,http://www.56135.com/huoyuan/I8746511.html,
山东泰安宁阳,安徽淮北,None,2018/8/27,http://www.56135.com/huoyuan/I8746510.html,
福建龙岩,山东济南济阳,None,2018/8/27,http://www.56135.com/huoyuan/I8746509.html,
河南安阳滑县,安徽淮北,None,2018/8/27,http://www.56135.com/huoyuan/I8746508.html,
山西吕梁文水,湖南长沙开福,None,2018/8/27,http://www.56135.com/huoyuan/I8746507.html,
辽宁鞍山,安徽蚌埠,None,2018/8/27,http://www.56135.com/huoyuan/I8746506.html,
辽宁锦州,安徽蚌埠,None,2018/8/27,http://www.56135.com/huoyuan/I8746505.html,
辽宁大连,湖南岳阳平江,普货,2018/8/27,http://www.56135.com/huoyuan/I8746504.html,
山东潍坊安丘,浙江杭州,None,2018/8/27,http://www.56135.com/huoyuan/I8746503.html,
山东日照莒县,山东济宁泗水,None,2018/8/27,http://www.56135.com/huoyuan/I8746502.html,
山东潍坊诸城,湖北,None,2018/8/27,http://www.56135.com/huoyuan/I8746501.html,
山东潍坊诸城,安徽马鞍山,None,2018/8/27,http://www.56135.com/huoyuan/I8746500.html,
山东烟台牟平,安徽马鞍山,None,2018/8/27,http://www.56135.com/huoyuan/I8746499.html,
山东聊城莘县,山东济宁泗水,None,2018/8/27,http://www.56135.com/huoyuan/I8746498.html,
山东济宁,浙江金华,None,2018/8/27,http://www.56135.com/huoyuan/I8746497.html,
山东潍坊安丘,浙江金华,None,2018/8/27,http://www.56135.com/huoyuan/I8746496.html,
山东潍坊,山东潍坊,None,2018/8/27,http://www.56135.com/huoyuan/I8746495.html,
山东潍坊诸城,江苏宿迁泗洪,None,2018/8/27,http://www.56135.com/huoyuan/I8746493.html,
山西吕梁孝义,江苏宿迁泗洪,None,2018/8/27,http://www.56135.com/huoyuan/I8746492.html,
山东滨州邹平,河南焦作武陟,None,2018/8/27,http://www.56135.com/huoyuan/I8746491.html,
山西吕梁文水,湖北荆州洪湖,None,2018/8/27,http://www.56135.com/huoyuan/I8746490.html,
河北邢台,河南鹤壁,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746489.html,
河北张家口,河南周口,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746488.html,
山西晋中,山东菏泽,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746487.html,
山西长治武乡,山东菏泽,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746486.html,
青海西宁,山东菏泽曹县,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746485.html,
山西吕梁文水,湖南岳阳,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746484.html,
山西晋中,福建泉州,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746483.html,
山东威海荣成,浙江湖州,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746482.html,
山西晋中,江苏苏州昆山,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746481.html,
福建龙岩,浙江湖州,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746480.html,
河北唐山,山东济宁兖州,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746479.html,
河南焦作,浙江湖州,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746478.html,
河北唐山,河北沧州肃宁,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746477.html,
河南濮阳,河南南阳,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746476.html,
河南开封兰考,江西赣州,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746475.html,
山东滨州博兴,浙江杭州,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746474.html,
山东滨州博兴,江苏无锡,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746473.html,
山东聊城,广东东莞,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746472.html,
山东临沂沂南,江苏徐州沛县,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746471.html,
江苏无锡,河南鹤壁,冻品,2018/8/27,http://www.56135.com/huoyuan/I8746470.html,
