,公司,岗位,薪资,地址,经度,纬度,URL,low,hight,mean,区域
962,德邦快递,海淀田村招快递员配车,5-9千/月,田村路德邦快递,116.265282,39.936913,https://jobs.51job.com/beijing-hdq/109848808.html?s=01&t=0,5.0,9.0,7.0,海淀区
964,北京安安酒店管理有限公司,仓库主管,4.5-6千/月,北京丰台区,116.292404,39.864938,https://jobs.51job.com/beijing-ftq/109554447.html?s=01&t=0,4.5,6.0,5.25,丰台区
965,北京大昌联丰汽车销售服务有限公司,仓库主管,4.5-6千/月,北京市石景山区古城汽车园区,116.18982,39.920639,https://jobs.51job.com/beijing-sjsq/84841216.html?s=01&t=0,4.5,6.0,5.25,石景山区
966,北京惠丰佳业汽车销售有限公司,仓库主管,4-5千/月,金盏乡金港南路8号（商务汽车）,116.576221,40.019217,https://jobs.51job.com/beijing-cyq/103700965.html?s=01&t=0,4.0,5.0,4.5,朝阳区
970,北京视睿讯科技有限公司,理货员,3-5千/月,百沙路1号新飞达科技园1栋2层,116.295904,40.152307,https://jobs.51job.com/beijing-cpq/108958515.html?s=01&t=0,3.0,5.0,4.0,昌平区
971,北京雅才博睿企业管理咨询有限公司,仓库主管,4.5-6千/月,亦庄线次渠,116.597911,39.809191,https://jobs.51job.com/beijing-dxq/108465287.html?s=01&t=0,4.5,6.0,5.25,大兴区
972,北京雅才博睿企业管理咨询有限公司,仓库主管,4.5-6千/月,亦庄线次渠,116.597911,39.809191,https://jobs.51job.com/beijing-dxq/108307484.html?s=01&t=0,4.5,6.0,5.25,大兴区
973,北京雅才博睿企业管理咨询有限公司,仓库主管,4.5-6千/月,亦庄线次渠,116.597911,39.809191,https://jobs.51job.com/beijing-dxq/107338130.html?s=01&t=0,4.5,6.0,5.25,大兴区
974,北京雅才博睿企业管理咨询有限公司,仓库主管,4.5-6千/月,亦庄线次渠,116.597911,39.809191,https://jobs.51job.com/beijing-dxq/105600674.html?s=01&t=0,4.5,6.0,5.25,大兴区
975,北京雅才博睿企业管理咨询有限公司,仓库主管,4.5-6千/月,亦庄线次渠,116.597911,39.809191,https://jobs.51job.com/beijing-dxq/105286314.html?s=01&t=0,4.5,6.0,5.25,大兴区
976,北京雅才博睿企业管理咨询有限公司,仓库主管,4.5-6千/月,亦庄线次渠,116.597911,39.809191,https://jobs.51job.com/beijing-dxq/105128985.html?s=01&t=0,4.5,6.0,5.25,大兴区
977,北京雅才博睿企业管理咨询有限公司,仓库主管,4.5-6千/月,亦庄线次渠,116.597911,39.809191,https://jobs.51job.com/beijing-dxq/104975509.html?s=01&t=0,4.5,6.0,5.25,大兴区
978,北京雅才博睿企业管理咨询有限公司,仓库主管,4.5-6千/月,亦庄线次渠,116.597911,39.809191,https://jobs.51job.com/beijing-dxq/104882833.html?s=01&t=0,4.5,6.0,5.25,大兴区
979,北京雅才博睿企业管理咨询有限公司,仓库主管,4.5-6千/月,亦庄线次渠,116.597911,39.809191,https://jobs.51job.com/beijing-dxq/101844527.html?s=01&t=0,4.5,6.0,5.25,大兴区
980,北京雅才博睿企业管理咨询有限公司,仓库主管,4.5-6千/月,亦庄线次渠,116.597911,39.809191,https://jobs.51job.com/beijing-dxq/101653766.html?s=01&t=0,4.5,6.0,5.25,大兴区
981,北京同心行科贸有限公司,仓库主管,5-6.5千/月,宣武门庄胜广场办公楼,116.381968,39.90378,https://jobs.51job.com/beijing-xcq/107236560.html?s=01&t=0,5.0,6.5,5.75,西城区
982,江苏正天物流有限公司,分流调度,4-7千/月,马驹桥镇房辛店村村北,116.535645,39.749425,https://jobs.51job.com/beijing-tzq/105544085.html?s=01&t=0,4.0,7.0,5.5,通州区
983,北京华欣物流有限公司,质检员,0.7-1万/月,东四环金长安大厦A座1505,116.497999,39.904735,https://jobs.51job.com/beijing-cyq/105679295.html?s=01&t=0,7.0,10.0,8.5,朝阳区
1214,北京集智达智能科技有限责任公司,仓库主管,4-6千/月,北京市昌平区回龙观北京国际信息产业基地发展路1号院（集智达大厦）,116.303051,40.117002,https://jobs.51job.com/beijing-cpq/101325124.html?s=01&t=0,4.0,6.0,5.0,昌平区
1216,跨越速运集团有限公司,通州急招操作工,5-8千/月,北京北京市通州区张家湾镇贾各庄村102,116.756661,39.846578,https://jobs.51job.com/beijing-tzq/94174662.html?s=01&t=0,5.0,8.0,6.5,通州区
1217,北京供给互联网有限公司,仓库主管,4.5-6千/月,新发地国际名酒城,116.335048,39.810561,https://jobs.51job.com/beijing-ftq/104814058.html?s=01&t=0,4.5,6.0,5.25,丰台区
1220,奇点同舟餐饮管理（北京）有限公司,仓库主管,0.8-1万/月,金马工业园,116.583835,40.140381,https://jobs.51job.com/beijing-syq/107368476.html?s=01&t=0,8.0,10.0,9.0,顺义区
1221,北京一键食达信息技术有限公司,仓库主管,6-8千/月,马驹桥镇松海垂钓园,116.665623,39.722666,https://jobs.51job.com/beijing-tzq/107154644.html?s=01&t=0,6.0,8.0,7.0,通州区
1223,北京上品优作网络科技有限公司,仓库主管,4.5-6千/月,经济技术开发区西环南路26号院30号楼B座101,116.547201,39.771938,https://jobs.51job.com/beijing-dxq/106676737.html?s=01&t=0,4.5,6.0,5.25,大兴区
1224,华奥弘盛企业管理服务（北京）有限公司,分拣员,4.3-5.2千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/108653833.html?s=01&t=0,4.3,5.2,4.75,顺义区
1225,华奥弘盛企业管理服务（北京）有限公司,分拣员,4.3-5.2千/月,南彩镇双营村企业工业园区,116.300591,39.77988,https://jobs.51job.com/beijing-syq/108654117.html?s=01&t=0,4.3,5.2,4.75,顺义区
1226,华奥弘盛企业管理服务（北京）有限公司,顺义招聘分货员（管住宿）,4.3-5.2千/月,南彩镇双营村企业工业园区,116.300591,39.77988,https://jobs.51job.com/beijing-syq/108653971.html?s=01&t=0,4.3,5.2,4.75,顺义区
