公司名称,岗位,所属岗位,薪资,平均薪资（千/月）,地址,所属城区,经度,纬度
穆勒纺织品（天津）有限公司,仓储物流管理员,仓库管理员,3-4千/月,3.5,天津市武清开发区泉丰路1号,武清区,39.395678,117.05939
蓝海宏业（天津）物流有限公司,仓库管理员（武清）,仓库管理员,4.5-6千/月,5.25,津围公路北北辰科技园景丽路39号蓝海宏业物流,北辰区,39.235437,117.237766
云量子供应链管理有限公司,仓库库管管培生,仓库管理员,4-6千/月,5,天津市武清区,武清区,39.389871,117.050597
敦豪物流（北京）有限公司,操作经理,仓储经理,1-2万/月,15,中华路街道华北路(甘)350号,河北区,,
天津泰普制药有限公司,仓库主管,仓库主管,4.5-6千/月,5.25,开发区西区,河北区,39.059071,117.540037
天津市丙辉建材科技开发有限公司,成品库管,仓库管理员,3.5-5千/月,4.25,天津津南区津南开发区（东区）集贤路36号,津南区,38.978009,117.457512
沈阳华才网络咨询有限公司,物流仓储管理 海外雇主直招 可移民非外派,仓库管理员,1-4万/月,25,，新加坡，澳大利亚，丹麦,河北区,23.151408,113.26237
新华文轩出版传媒股份有限公司,生产调度员,调度员,2-4千/月,3,天津市武清开发区旺源道4号,武清区,39.427876,117.069671
武汉神码浮云科技有限公司,仓库管理员 包吃住 带薪年假,仓库管理员,4.5-6千/月,5.25,南开区,南开区,39.144105,117.156515
天津新能再生资源有限公司,备件库管理员,仓库管理员,3.5-4.5千/月,4,静海子牙开发区浙江道3号,静海县,38.883867,116.800283
武汉众创聚世科技有限公司,库房文员（包住宿）,仓储管理文员,4.5-6千/月,5.25,滨海新区,滨海新区,39.009416,117.717395
天津华海清科机电科技有限公司,库管,仓库管理员,4.5-6千/月,5.25,天津市津南区海河科技园聚兴道9号 8号楼,津南区,38.98263,117.420801
佛吉亚（天津）汽车部件系统有限公司,仓库管理员,仓库管理员,,,空港经济开发区,东丽区,39.143765,117.419687
武汉亿钜鑫网络科技有限公司,仓库管理文员 绩效奖金/双休,仓储管理文员,4.5-6千/月,5.25,天津-西青区,西青区,39.148727,117.014408
上海速越物流有限公司,调度员,调度员,4.5-6千/月,5.25,金钟街道,东丽区,39.208893,117.278973
北京恒诚易达物流有限公司,西青仓库现场,仓库管理员,3.5-4千/月,3.75,杨柳青镇青静路附近,西青区,39.13307,117.011741
四川物联亿达科技有限公司,运作主管,仓库主管,4.5-6千/月,5.25,天津市,河北区,39.093669,117.20952
天津滨港电镀企业管理有限公司,仓管（静海中旺，包吃住）,仓库管理员,3-4.5千/月,3.75,天津市静海区中旺镇滨港高新铸造工业区双赢道2号,静海县,,
上海中硕国际物流有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,中旺镇王官庄村南,静海县,38.616869,117.095656
安纽希（天津）婴幼儿食品科技有限公司,仓库管理员,仓库管理员,2-3千/月,2.5,南马路11号,和平区,39.14188,117.195429
武汉汇博天下科技有限公司,仓库管理员（带薪年假+年终奖）,仓库管理员,4.5-6千/月,5.25,荣业大街,和平区,39.136506,117.191333
天津市路迪恒泰汽车销售有限公司,新车调动库管员,仓库管理员,2-4千/月,3,解放南路环渤海汽车城比亚迪4S店,河西区,39.059191,117.239047
弗玛仓储（太仓）有限公司,收货员/备货员/分货员操作工,调度员,4-6千/月,5,杨柳青,西青区,39.13467,117.021445
广东橙家科技有限公司,仓库主管,仓库主管,6-9千/月,7.5,先锋路,河东区,39.07961,117.356509
天津瀚诺威国际物流有限公司,仓库理货员,仓库理货员,3-4.5千/月,3.75,临港经济区,河北区,38.962197,117.722029
天津博克百胜科技有限公司,仓库管理员,仓库管理员,3.5-4.5千/月,4,天津市滨海新区大港中塘镇刘塘庄化工区,滨海新区,,
天津市利好食品有限责任公司,原料库库管,仓库管理员,3-4.5千/月,3.75,天津市津南区辛庄双港工业园达港南路36号,津南区,39.029855,117.32367
天津晟亚国际物流有限公司,现场操作员,仓库管理员,3-4.5千/月,3.75,天津开发区第三大街51号金融街西区8-A-310室,滨海新区,39.219619,117.757176
浙江晶创自动化设备有限公司,仓库管理员,仓库管理员,4-5千/月,4.5,西青区华苑产业园区（环外）海泰发展一路10号天津中环半导体,西青区,39.081785,117.106512
天津市山上下餐饮有限公司,搬运工,搬运工,3-4.5千/月,3.75,双街镇凤梧道与龙淮路交口,北辰区,39.2657,117.138597
神州数码供应链,仓储专业主管,仓库主管,5.5-8千/月,6.75,八里台工业园区津顺安平物流园,津南区,38.971014,117.361905
天津尚依居门窗有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,双港裕和工业园3号,津南区,39.030875,117.329674
上海天地汇供应链管理有限公司,运营调度,调度员,4.5-6千/月,5.25,天津市西青区中北镇节能大厦9楼,西青区,39.131251,117.082519
嘉里粮油（天津）有限公司,运输调度,调度员,3-4.5千/月,3.75,宁河现代产业园海航东路华康物流园3号库,宁河县,,
顺利园（上海）商业经营管理有限公司,仓库管理员,仓库管理员,4.5-6千/月,5.25,天津武清开发区泉华路飞鹰聚力4号厂房,武清区,,
天津亿莱恩科技有限公司,库管员,仓库管理员,3-4.5千/月,3.75,天津市津南区辛庄镇鑫港四号路12号-1-3002,津南区,39.029997,117.320722
硕方电子（天津）有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,天津河东区新开路万春美钻大厦3楼301室,河东区,39.150368,117.220204
上海的卢供应链管理有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,大王古庄镇镇政府南侧津武锅炉厂内6号仓库,武清区,39.577081,116.832704
天津畅联供应链管理有限公司,操作经理,仓储经理,10-15万/年,10.4,武清区武清开发区福源道33号,武清区,39.410302,117.066242
北汽鹏龙开利（天津）汽车服务有限公司,保税车辆仓库管理员,仓库管理员,3-4.5千/月,3.75,天津港保税区,滨海新区,39.00747,117.773043
天津浙杭叉车销售有限公司,仓库管理员,仓库管理员,4.5-6千/月,5.25,天津市东丽区津塘公路五号桥,东丽区,39.081738,117.37841
天津银河阀门有限公司,仓库管理员,仓库管理员,3.3-4千/月,3.65,津南区八里台工业园区天华路15号,津南区,38.9633,117.334409
天津泰连达国际货运代理有限公司,司磅员,仓库管理员,2-3千/月,2.5,天津滨海新区开发区第二大街MSD写字楼,滨海新区,39.029482,117.712651
北京大旺食品有限公司天津分公司,调度员,调度员,3-4.5千/月,3.75,宁河,宁河县,39.337,117.831139
天津津芯微电子科技有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,天津经济技术开发区黄海路167号,滨海新区,39.059686,117.70268
天津路加建筑装饰材料有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,曙光路,河北区,39.187348,117.222811
天津倜茂沃电子有限公司,仓库管理员,仓库管理员,2.5-4千/月,3.25,赛达国际工业城A2-3厂房,西青区,38.978035,117.232225
杭州中亚机械股份有限公司,仓库管理员,仓库管理员,,,0,河北区,,
北京分公司7,仓储运营经理,仓储经理,1-1.5万/月,12.5,交通集团城市物流配送中心美菜网仓库,北辰区,,
三木普利（天津）有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,天津市北辰经济技术开发区永丰道10号 B01厂房,北辰区,39.324696,117.205127
天津市盛宏纺织商贸有限公司,仓库管理兼司机,仓库管理员,3.4-4千/月,3.7,东方红路,西青区,38.938489,117.016888
天津市增益达精锻齿轮科技有限公司,库管文员,仓储管理文员,3-3.5千/月,3.25,天津市西青区大寺镇赛达新兴产业园96路、636路终点站延河边南行500米（芦北口辛老加油站南行500米）,西青区,,
天津市悦鑫建筑装饰工程有限公司,搬运工,搬运工,4.5-6千/月,5.25,河东区天山南路万隆小区,东丽区,39.128864,117.289666
天津科罗森科技有限公司,仓库管理,仓库管理员,4.5-6千/月,5.25,海泰绿色产业基地,西青区,39.084737,117.102765
饿了么,物流驻仓,仓库管理员,0.6-1万/月,8,恒生仓储中心,河北区,39.12973,117.121288
贝思客,仓库管理文员,仓储管理文员,3-4.5千/月,3.75,滨海科技园风光大道6号向阳坊工厂,东丽区,,
天津市朗尼科技发展有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,华明低碳产业园,东丽区,39.173562,117.356858
天津天威有限公司,搬运工,搬运工,2-3千/月,2.5,张兴庄大街,河北区,39.188734,117.212472
天津港集船务代理有限公司,塘沽仓储调度员,调度员,3-4.5千/月,3.75,天津市和平区南京路君隆广场B3-301c,和平区,39.122796,117.211438
小红书,资产安全主管,仓库主管,6-8千/月,7,天津自贸试验区（东疆保税港区）宁夏道1088号,滨海新区,,
天津东一韬鸿智能控制装备有限公司,仓库管理员,仓库管理员,4-6千/月,5,无瑕工业园A区18号,东丽区,39.045183,117.525237
广州卡拉宝饮料有限公司,仓储专员,仓库管理员,4.5-6千/月,5.25,天津,河北区,39.093669,117.20952
天津利安隆新材料股份有限公司,仓储管理,仓库管理员,4.5-6千/月,5.25,天津市华苑产业区开华道20号智慧山西塔F座20层,西青区,39.098663,117.128555
密尔克卫化工供应链服务股份有限公司天津分公司,运输调度,调度员,4.5-6千/月,5.25,小淀物流园,北辰区,39.250823,117.247367
天津爱康实业有限公司,仓库经理,仓储经理,5-6千/月,5.5,天津宝坻区,宝坻区,39.723243,117.316431
天津市意典美闻企业管理有限公司,库管员,仓库管理员,3-4.5千/月,3.75,信通路1号,东丽区,39.075886,117.352147
绝味食品天津子公司,仓库管理员（工作地点：武清区）,仓库管理员,2.5-4千/月,3.25,河西务开发区,武清区,39.62838,116.966931
天津养乐多乳品有限公司,仓库管理员,仓库管理员,3-5千/月,4,天津经济技术开发区海云街,滨海新区,,
南京金利检验有限公司,取样操作工,仓库管理员,4.5-6千/月,5.25,黄海路,滨海新区,39.08881,117.717606
北京沃尔玛百货有限公司,运营主管/物流主管,仓库主管,4.5-6千/月,5.25,北京市通州区永乐店镇永乐大街7号宇培北京通州物流园,通州区,39.710984,116.811983
路路达石油制品（天津）有限公司,仓库调度,调度员,4.5-4.8千/月,4.65,天津经济技术开发区南港工业区,滨海新区,38.689751,117.562348
施耐德万高（天津）电气设备有限公司,仓库物料管理员,仓库管理员,3-4千/月,3.5,天津滨海高新区华苑产业区(环外)海泰创新六路11号,西青区,39.089108,117.076324
浙江天正电气股份有限公司,仓库保管员,仓库管理员,3-4.5千/月,3.75,天津,河北区,39.090908,117.205914
广州市创智人力资源服务有限公司,仓管操作员,仓库管理员,3.6-5千/月,4.3,空港经济区经二路175号中通快递,东丽区,,
上海全盛供应链管理有限公司,天津北辰运输调度/客服,调度员,3.5-5千/月,4.25,高新大道69号沃尔玛配送中心二期1号雀巢仓库,北辰区,39.237525,117.277709
谷山企业管理咨询（天津）有限公司,仓库主管,仓库主管,6-8千/月,7,武清,武清区,39.389871,117.050597
圆通速递有限公司,操作工,仓库管理员,4.5-6千/月,5.25,天津市东丽区机场货运路第二大街圆通速递有限公司,东丽区,39.142718,117.337429
广州市巴图鲁信息科技有限公司,配件顾问-汽配电商（天津）,仓库管理员,4-8千/月,6,天津市武清区东马圈镇武落公路东侧,武清区,,
天津格鲁伯企业管理咨询有限公司,物流专员,仓库管理员,3-4.5千/月,3.75,塘沽,滨海新区,39.035228,117.667631
布柯玛蓄能器（天津）有限公司,仓库主管,仓库主管,4.5-6千/月,5.25,津南经济开发区中惠道2号,津南区,39.040044,117.312634
国美电器有限公司（华北大区）,仓库管理员,仓库管理员,2-3千/月,2.5,福安大街与荣业大街交口国美电器东门（近星巴克）二楼,和平区,39.137201,117.200601
恒都投资控股（天津）股份有限公司,煤炭仓储管理员,仓库管理员,5-7千/月,6,朔州市,河北区,39.337108,112.439371
广州一智通供应链管理有限公司,物流专员/项目客服,仓库管理员,4-6千/月,5,赤欢路3009号对面,东丽区,39.229085,117.391033
北京思腾合力科技有限公司,库房管理,仓库管理员,3-4.5千/月,3.75,福源道逸仙园泰易家居办公楼一层,武清区,,
爱回收,仓库专员,仓库管理员,3-5千/月,4,福源道与翠亨路交口,武清区,39.41553,117.04876
天地融科技股份有限公司,库管员,仓库管理员,4.5-6千/月,5.25,泉达路20号,武清区,39.408824,117.052602
上海瀛智展示用品有限公司,仓库管理员,仓库管理员,4-5千/月,4.5,太阳城丹荔园17号楼2单元202室,东丽区,39.16112,117.290663
天津瑞盛鑫医疗器械科技有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,泾河道2号,北辰区,39.231827,117.204179
天津睿科售货机制造有限公司,高薪配货员打包员8小时,仓库管理员,4-4.1千/月,4.05,海泰发展三道与二路交口（江南科技院内右手4楼）,西青区,,
